<<<<<<< HEAD
-0.07875 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.07625 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.07375 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.07125 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.06875 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.06625 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.06375 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.06125 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.05875 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.05625 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.05375 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.05125 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.04875 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.04625 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.04375 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.04125 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.03875 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.03625 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.03375 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.03125 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.02875 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.02625 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.02375 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.02125 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.01875 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.01625 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.01375 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.01125 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.00875 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.00625 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.00375 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
-0.00125 1.71429 0.583333 0.683333 0.715678  1.16667  -1.2791
=======
-0.24875 1 1 0.277778
-0.24625 1 1 0.277778
-0.24375 1 1 0.277778
-0.24125 1 1 0.277778
-0.23875 1 1 0.277778
-0.23625 1 1 0.277778
-0.23375 1 1 0.277778
-0.23125 1 1 0.277778
-0.22875 1 1 0.277778
-0.22625 1 1 0.277778
-0.22375 1 1 0.277778
-0.22125 1 1 0.277778
-0.21875 1 1 0.277778
-0.21625 1 1 0.277778
-0.21375 1 1 0.277778
-0.21125 1 1 0.277778
-0.20875 1 1 0.277778
-0.20625 1 1 0.277778
-0.20375 1 1 0.277778
-0.20125 1 1 0.277778
-0.19875 1 1 0.277778
-0.19625 1 1 0.277778
-0.19375 1 1 0.277778
-0.19125 1 1 0.277778
-0.18875 1 1 0.277778
-0.18625 1 1 0.277778
-0.18375 1 1 0.277778
-0.18125 1 1 0.277778
-0.17875 1 1 0.277778
-0.17625 1 1 0.277778
-0.17375 1 1 0.277778
-0.17125 1 1 0.277778
-0.16875 1 1 0.277778
-0.16625 1 1 0.277778
-0.16375 1 1 0.277778
-0.16125 1 1 0.277778
-0.15875 1 1 0.277778
-0.15625 1 1 0.277778
-0.15375 1 1 0.277778
-0.15125 1 1 0.277778
-0.14875 1 1 0.277778
-0.14625 1 1 0.277778
-0.14375 1 1 0.277778
-0.14125 1 1 0.277778
-0.13875 1 1 0.277778
-0.13625 1 1 0.277778
-0.13375 1 1 0.277778
-0.13125 1 1 0.277778
-0.12875 1 1 0.277778
-0.12625 1 1 0.277778
-0.12375 1.74627 0.57265 0.705128
-0.12125 1.74627 0.57265 0.705128
-0.11875 1.74627 0.57265 0.705128
-0.11625 1.74627 0.57265 0.705128
-0.11375 1.74627 0.57265 0.705128
-0.11125 1.74627 0.57265 0.705128
-0.10875 1.74627 0.57265 0.705128
-0.10625 1.74627 0.57265 0.705128
-0.10375 1.74627 0.57265 0.705128
-0.10125 1.74627 0.57265 0.705128
-0.09875 1.74627 0.57265 0.705128
-0.09625 1.74627 0.57265 0.705128
-0.09375 1.74627 0.57265 0.705128
-0.09125 1.74627 0.57265 0.705128
-0.08875 1.74627 0.57265 0.705128
-0.08625 1.74627 0.57265 0.705128
-0.08375 1.74627 0.57265 0.705128
-0.08125 1.74627 0.57265 0.705128
-0.07875 1.74627 0.57265 0.705128
-0.07625 1.74627 0.57265 0.705128
-0.07375 1.74627 0.57265 0.705128
-0.07125 1.74627 0.57265 0.705128
-0.06875 1.74627 0.57265 0.705128
-0.06625 1.74627 0.57265 0.705128
-0.06375 1.74627 0.57265 0.705128
-0.06125 1.74627 0.57265 0.705128
-0.05875 1.74627 0.57265 0.705128
-0.05625 1.74627 0.57265 0.705128
-0.05375 1.74627 0.57265 0.705128
-0.05125 1.74627 0.57265 0.705128
-0.04875 1.74627 0.57265 0.705128
-0.04625 1.74627 0.57265 0.705128
-0.04375 1.74627 0.57265 0.705128
-0.04125 1.74627 0.57265 0.705128
-0.03875 1.74627 0.57265 0.705128
-0.03625 1.74627 0.57265 0.705128
-0.03375 1.74627 0.57265 0.705128
-0.03125 1.74627 0.57265 0.705128
-0.02875 1.74627 0.57265 0.705128
-0.02625 1.74627 0.57265 0.705128
-0.02375 1.74627 0.57265 0.705128
-0.02125 1.74627 0.57265 0.705128
-0.01875 1.74627 0.57265 0.705128
-0.01625 1.74627 0.57265 0.705128
-0.01375 1.74627 0.57265 0.705128
-0.01125 1.74627 0.57265 0.705128
-0.00875 1.74627 0.57265 0.705128
-0.00625 1.74627 0.57265 0.705128
-0.00375 1.74627 0.57265 0.705128
-0.00125 1.74627 0.57265 0.705128
>>>>>>> f6e831ddb10431022ea297b7aeeac228e4fd65a0
